bid_pbanc_no,bid_pbanc_ord,bid_clsf_no,bid_prgrs_ord,bid_pbanc_nm,bid_pbanc_num,pbanc_stts_cd,pbanc_stts_cd_nm,prcm_bsne_se_cd,prcm_bsne_se_cd_nm,bid_mthd_cd,bid_mthd_cd_nm,std_ctrt_mthd_cd,std_ctrt_mthd_cd_nm,scsbd_mthd_cd,scsbd_mthd_cd_nm,pbanc_inst_unty_grp_no,pbanc_inst_unty_grp_no_nm,grp_nm,pic_id,pic_id_nm,bid_blff_id,bid_blff_id_nm,bsne_tlph_no,bsne_fax_no,bsne_eml,pbanc_pstg_dt,slpr_rcpt_bgng_dt,slpr_rcpt_ddln_dt,onbs_prnmnt_dt,bid_qlfc_reg_dt,onbs_plac_nm,zip,base_addr,dtl_addr,unty_addr,edoc_no,usr_doc_no_val,rbid_prms_yn,pbanc_pstg_yn,rgn_lmt_yn,lcns_lmt_yn,pnpr_use_yn,pnpr_rls_yn,unty_atch_file_no
R26BK01324334,000,0,000,2026년도 대학정보보호동아리KUCIS 행사 및 교육 지원 용역,R26BK01324334000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000073440,한국정보보호산업협회,한국정보보호산업협회,UN00000213619,신지혜,UN00000213619,신지혜,0267482045,0267482000,sjh0905@kisia.or.kr,2026-02-09 10:34:40,2026-02-09 11:00:00,2026-02-24 10:00:00,2026-02-24 11:00:00,2026-02-23 18:00:00,국가종합전자조달시스템&#40;나라장터&#41;,05717,서울특별시 송파구 중대로,135-0 &#40;가락동&#41;,서울특별시 송파구 중대로 135-0 &#40;가락동&#41;,교육기획팀-55,교육기획팀-55,True,True,False,False,False,False,59e7a80a-9ee2-425a-9367-83a3a8bb922b
R26BK01324591,000,0,000,수의계약을 위한 우선협상대상 시공자 선정 공고 4차,R26BK01324591000,공400001,등록공고,조070004,공사,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000096016,태평2가 가로주택정비사업조합,태평2가 가로주택정비사업조합,UN00000479246,김경희,UN00000479246,김경희,0534283377,0534283376,summer0914@naver.com,2026-02-09 10:26:00,2026-02-09 12:00:00,2026-02-27 17:00:00,2026-02-27 18:00:00,2026-02-26 18:00:00,조합사무실&#40;대구광역시 중구 태평로 113 건축자재상가아파트 가동 1호&#41;,41902,대구광역시 중구 태평로,"113-0 &#40;태평로2가, 자재상가아파트&#41;","대구광역시 중구 태평로 113-0 &#40;태평로2가, 자재상가아파트&#41;",2026-04,2026-04,False,True,False,False,False,False,60bf3dce-19f0-49b0-9226-1905cda184a4
R26BK01324468,001,1,000,2025년 상품화기반구축지원사업 자동셋팅 오픈박스 제함기 물품구매 입찰,R26BK01324468001,공400002,변경공고,조070001,물품,입180002,전자입찰,계030003,제한경쟁,낙030021,최저가낙찰제,IN0000000013838,임실군조합공동사업법인 농산물산지유통센터,임실군조합공동사업법인 농산물산지유통센터,UN00000566255,박창식,UN00000566255,박창식,0636448881,0636438879,nh511161@nonghyup.com,2026-02-09 10:19:51,2026-02-09 11:00:00,2026-02-13 10:00:00,2026-02-13 11:00:00,2026-02-12 18:00:00,임실군조합공동사업법인 입찰집행관PC,55919,전북특별자치도 임실군 성수면 춘향로,2267-1 ,전북특별자치도 임실군 성수면 춘향로 2267-1 ,2026-01,2026-01,True,True,False,False,False,False,9a53a48e-ffb5-43cd-beca-cae834c77310
R26BK01324423,001,0,000,재공고 - 2026시즌 부산아이파크 경기 관람 환경 개선 ,R26BK01324423001,공400004,재공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000077095,에이치디씨스포츠 주식회사,에이치디씨스포츠 주식회사,UN00000109451,김현호,UN00000109451,김현호,0519411100,0519416715,hyeonho@hdc-sports.com,2026-02-09 10:08:44,,,2026-02-20 15:00:00,,부산아이파크 클럽하우스,46703,부산광역시 강서구 체육공원로,43-0 &#40;대저1동&#41; 부산아이파크 클럽하우스,부산광역시 강서구 체육공원로 43-0 &#40;대저1동&#41; 부산아이파크 클럽하우스,BIFC2604,BIFC2604,True,True,False,False,False,True,e35c9f6b-e833-4911-8e70-e6c616d5cbf1
R26BK01324416,001,0,000,재공고 - 2026시즌 부산아이파크 홈경기 청소 용역,R26BK01324416001,공400004,재공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000077095,에이치디씨스포츠 주식회사,에이치디씨스포츠 주식회사,UN00000109451,김현호,UN00000109451,김현호,0519411100,0519416715,hyeonho@hdc-sports.com,2026-02-09 10:02:29,,,2026-02-20 15:15:00,,부산아이파크 클럽하우스,46703,부산광역시 강서구 체육공원로,43-0 &#40;대저1동&#41; 부산아이파크 클럽하우스,부산광역시 강서구 체육공원로 43-0 &#40;대저1동&#41; 부산아이파크 클럽하우스,BIFC2606,BIFC2606,True,True,False,False,False,True,e0136a67-0050-48ef-871e-71d0fdf23a4a
R26BK01323291,000,0,000,예비 사업시행자 신탁사 선정 입찰공고,R26BK01323291000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0000000013687,수택A구역도심복합개발추진준비위원회,수택A구역도심복합개발추진준비위원회,UN00000556447,서강연,UN00000556447,서강연,0315698288,0315698289,seo01053373131@gmail.com,2026-02-09 09:32:46,2026-02-09 10:00:00,2026-02-11 10:00:00,2026-02-11 11:00:00,2026-02-11 10:00:00,추진준비위원회 사무실,11928,경기도 구리시 검배로,36 &#40;수택동&#41; 501호,경기도 구리시 검배로 36 &#40;수택동&#41; 501호,제2026-02호,제2026-02호,False,True,False,False,False,False,9017418c-cf10-4eda-9813-c7c28cbbf0a9
R26BK01323396,001,0,000,「K리그 유스 교육방법론 및 디렉팅 체계 도입」용역,R26BK01323396001,공400002,변경공고,조070002,용역,입180001,직찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000075693,&#40;사&#41;한국프로축구연맹,&#40;사&#41;한국프로축구연맹,UN00000107560,노진근,UN00000107560,노진근,,,jinkn@kleague.com,2026-02-07 21:58:24,,,2026-02-19 14:00:00,,프로축구연맹 사무국,03175,서울특별시 종로구 경희궁길,46-0 &#40;신문로2가&#41; 축구회관5층,서울특별시 종로구 경희궁길 46-0 &#40;신문로2가&#41; 축구회관5층,유스지원-260206,유스지원-260206,True,True,False,False,False,True,30111f0c-c080-40b7-bae3-30a1f31f9e68
R26BK01323461,000,0,000,범죄예방 및 이주관리/세입자조사/ 업체 선정 입찰공고,R26BK01323461000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014032,가능4구역 재개발정비사업조합,가능4구역 재개발정비사업조합,UN00000399403,서용엄,UN00000399403,서용엄,01052145410,0318778205,ganeung4@naver.com,2026-02-06 19:09:01,2026-02-13 10:00:00,2026-02-24 16:00:00,2026-02-24 17:00:00,2026-02-23 18:00:00,가능4구역 재개발정비사업조합 사무실,11623,경기도 의정부시 의정로,"94, 5층 &#40;가능동&#41;","경기도 의정부시 의정로 94, 5층 &#40;가능동&#41;",제20260206-13호,제20260206-13호,True,True,False,False,False,False,cf3c9141-642d-4107-bdc1-c78ee60bd1e3
R26BK01323459,000,0,000,환경 및 재해영향평가 업체 선정 입찰공고,R26BK01323459000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014032,가능4구역 재개발정비사업조합,가능4구역 재개발정비사업조합,UN00000399403,서용엄,UN00000399403,서용엄,01052145410,0318778205,ganeung4@naver.com,2026-02-06 19:08:13,2026-02-13 10:00:00,2026-02-24 15:00:00,2026-02-24 16:00:00,2026-02-23 18:00:00,가능4구역 재개발정비사업조합 사무실,11623,경기도 의정부시 의정로,"94, 5층 &#40;가능동&#41;","경기도 의정부시 의정로 94, 5층 &#40;가능동&#41;",제20260206-12호,제20260206-12호,True,True,False,False,False,False,5f266f27-9ebf-4fa0-8e49-afc971faaa16
R26BK01323456,000,0,000,친환경 분야 협력업체 선정 입찰공고,R26BK01323456000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014032,가능4구역 재개발정비사업조합,가능4구역 재개발정비사업조합,UN00000399403,서용엄,UN00000399403,서용엄,01052145410,0318778205,ganeung4@naver.com,2026-02-06 19:06:24,2026-02-13 10:00:00,2026-02-24 14:00:00,2026-02-24 15:00:00,2026-02-23 18:00:00,가능4구역 재개발정비사업조합 사무실,11623,경기도 의정부시 의정로,"94, 5층 &#40;가능동&#41;","경기도 의정부시 의정로 94, 5층 &#40;가능동&#41;",제20260206-11호,제20260206-11호,True,True,False,False,False,False,ac7b9bd8-2280-4f82-9b6b-76e75cebda1b
