bid_pbanc_no,bid_pbanc_ord,bid_clsf_no,bid_prgrs_ord,bid_pbanc_nm,bid_pbanc_num,pbanc_stts_cd,pbanc_stts_cd_nm,prcm_bsne_se_cd,prcm_bsne_se_cd_nm,bid_mthd_cd,bid_mthd_cd_nm,std_ctrt_mthd_cd,std_ctrt_mthd_cd_nm,scsbd_mthd_cd,scsbd_mthd_cd_nm,pbanc_inst_unty_grp_no,pbanc_inst_unty_grp_no_nm,grp_nm,pic_id,pic_id_nm,bid_blff_id,bid_blff_id_nm,bsne_tlph_no,bsne_fax_no,bsne_eml,pbanc_pstg_dt,slpr_rcpt_bgng_dt,slpr_rcpt_ddln_dt,onbs_prnmnt_dt,bid_qlfc_reg_dt,onbs_plac_nm,zip,base_addr,dtl_addr,unty_addr,edoc_no,usr_doc_no_val,rbid_prms_yn,pbanc_pstg_yn,rgn_lmt_yn,lcns_lmt_yn,pnpr_use_yn,pnpr_rls_yn,unty_atch_file_no
R26BK01323461,000,0,000,범죄예방 및 이주관리/세입자조사/ 업체 선정 입찰공고,R26BK01323461000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323459,000,0,000,환경 및 재해영향평가 업체 선정 입찰공고,R26BK01323459000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323456,000,0,000,친환경 분야 협력업체 선정 입찰공고,R26BK01323456000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323452,000,0,000,측량분야 협력업체 선정 입찰공고,R26BK01323452000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323449,000,0,000,감정평가법인 등 협력업체 선정 입찰공고,R26BK01323449000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323442,000,0,000,토목분야 업체 선정 입찰공고,R26BK01323442000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323441,000,0,000,전기·통신·소방설계업체 선정 입찰공고,R26BK01323441000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323434,000,0,000,교통영향평가·경관·정비기반시설 설계업체 선정 입찰공고,R26BK01323434000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323431,000,0,000,석면 사전조사 및 석면 농도측정 용역업체 선정 입찰공고,R26BK01323431000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323396,001,0,000,「K리그 유스 교육방법론 및 디렉팅 체계 도입」용역,R26BK01323396001,공400002,변경공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323461,000,0,000,범죄예방 및 이주관리/세입자조사/ 업체 선정 입찰공고,R26BK01323461000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323459,000,0,000,환경 및 재해영향평가 업체 선정 입찰공고,R26BK01323459000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323456,000,0,000,친환경 분야 협력업체 선정 입찰공고,R26BK01323456000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323452,000,0,000,측량분야 협력업체 선정 입찰공고,R26BK01323452000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323449,000,0,000,감정평가법인 등 협력업체 선정 입찰공고,R26BK01323449000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323442,000,0,000,토목분야 업체 선정 입찰공고,R26BK01323442000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323441,000,0,000,전기·통신·소방설계업체 선정 입찰공고,R26BK01323441000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323434,000,0,000,교통영향평가·경관·정비기반시설 설계업체 선정 입찰공고,R26BK01323434000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323431,000,0,000,석면 사전조사 및 석면 농도측정 용역업체 선정 입찰공고,R26BK01323431000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323396,001,0,000,「K리그 유스 교육방법론 및 디렉팅 체계 도입」용역,R26BK01323396001,공400002,변경공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323461,000,0,000,범죄예방 및 이주관리/세입자조사/ 업체 선정 입찰공고,R26BK01323461000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323459,000,0,000,환경 및 재해영향평가 업체 선정 입찰공고,R26BK01323459000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323456,000,0,000,친환경 분야 협력업체 선정 입찰공고,R26BK01323456000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323452,000,0,000,측량분야 협력업체 선정 입찰공고,R26BK01323452000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323449,000,0,000,감정평가법인 등 협력업체 선정 입찰공고,R26BK01323449000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323442,000,0,000,토목분야 업체 선정 입찰공고,R26BK01323442000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323441,000,0,000,전기·통신·소방설계업체 선정 입찰공고,R26BK01323441000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323434,000,0,000,교통영향평가·경관·정비기반시설 설계업체 선정 입찰공고,R26BK01323434000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26BK01323431,000,0,000,석면 사전조사 및 석면 농도측정 용역업체 선정 입찰공고,R26BK01323431000,공400001,등록공고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
