bid_pbanc_no,bid_pbanc_ord,bid_clsf_no,bid_prgrs_ord,bid_pbanc_nm,bid_pbanc_num,pbanc_stts_cd,pbanc_stts_cd_nm,prcm_bsne_se_cd,prcm_bsne_se_cd_nm,bid_mthd_cd,bid_mthd_cd_nm,std_ctrt_mthd_cd,std_ctrt_mthd_cd_nm,scsbd_mthd_cd,scsbd_mthd_cd_nm,grp_nm,pbanc_pstg_dt,slpr_rcpt_ddln_dt,pbanc_knd_cd,pbanc_knd_cd_nm,pbanc_stts_grid_cd_nm,row_num,tot_cnt,current_page,record_count_per_page,next_row_yn,edoc_no,usr_doc_no_val,pbanc_inst_unty_grp_no,pbanc_pstg_yn,pbanc_dscr_trgt_yn,slpr_rcpt_bgng_yn,slpr_rcpt_ddln_yn,onbs_prnmnt_yn,bid_qlfc_end_yn,pbanc_bfss_yn,bid_pbanc_pgst_cd,sfbr_slctn_ord,sfbr_slctn_rslt_cd,doc_sbmsn_ddln_dt,cvln_qlem_crtr_no,cvln_qlem_pgst_cd,objtdmd_term_dt,bdng_amt_yn_nm,slpr_rcpt_ddln_dt1
R26BK01323461,000,0,000,범죄예방 및 이주관리/세입자조사/ 업체 선정 입찰공고,R26BK01323461000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,가능4구역 재개발정비사업조합,2026-02-06 19:09:00,2026-02-24 16:00:00,공440002,실공고,입찰개시,2,984,1,10,True,제20260206-13호,제20260206-13호,IN0000000014032,True,True,False,False,False,False,False,입160003,,,,202412260183,민020000,,,
R26BK01323459,000,0,000,환경 및 재해영향평가 업체 선정 입찰공고,R26BK01323459000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,가능4구역 재개발정비사업조합,2026-02-06 19:08:00,2026-02-24 15:00:00,공440002,실공고,입찰개시,3,984,1,10,True,제20260206-12호,제20260206-12호,IN0000000014032,True,True,False,False,False,False,False,입160003,,,,202412260183,민020000,,,
R26BK01323456,000,0,000,친환경 분야 협력업체 선정 입찰공고,R26BK01323456000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,가능4구역 재개발정비사업조합,2026-02-06 19:06:00,2026-02-24 14:00:00,공440002,실공고,입찰개시,4,984,1,10,True,제20260206-11호,제20260206-11호,IN0000000014032,True,True,False,False,False,False,False,입160003,,,,202412260183,민020000,,,
R26BK01323452,000,0,000,측량분야 협력업체 선정 입찰공고,R26BK01323452000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,가능4구역 재개발정비사업조합,2026-02-06 19:05:00,2026-02-24 11:00:00,공440002,실공고,입찰개시,5,984,1,10,True,제20260206-10호,제20260206-10호,IN0000000014032,True,True,False,False,False,False,False,입160003,,,,202412260183,민020000,,,
R26BK01323449,000,0,000,감정평가법인 등 협력업체 선정 입찰공고,R26BK01323449000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,가능4구역 재개발정비사업조합,2026-02-06 19:05:00,2026-02-24 10:00:00,공440002,실공고,입찰개시,6,984,1,10,True,제20260206-09호,제20260206-09호,IN0000000014032,True,True,False,False,False,False,False,입160003,,,,202412260183,민020000,,,
R26BK01323442,000,0,000,토목분야 업체 선정 입찰공고,R26BK01323442000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,가능4구역 재개발정비사업조합,2026-02-06 19:04:00,2026-02-23 17:00:00,공440002,실공고,입찰개시,7,984,1,10,True,제20260206-08호,제20260206-08호,IN0000000014032,True,True,False,False,False,False,False,입160003,,,,202412260183,민020000,,,
R26BK01323441,000,0,000,전기·통신·소방설계업체 선정 입찰공고,R26BK01323441000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,가능4구역 재개발정비사업조합,2026-02-06 19:03:00,2026-02-23 16:00:00,공440002,실공고,입찰개시,8,984,1,10,True,제20260206-07호,제20260206-07호,IN0000000014032,True,True,False,False,False,False,False,입160003,,,,202412260183,민020000,,,
R26BK01323434,000,0,000,교통영향평가·경관·정비기반시설 설계업체 선정 입찰공고,R26BK01323434000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,가능4구역 재개발정비사업조합,2026-02-06 19:02:00,2026-02-23 15:00:00,공440002,실공고,입찰개시,9,984,1,10,True,제20260206-06호,제20260206-06호,IN0000000014032,True,True,False,False,False,False,False,입160003,,,,202412260183,민020000,,,
R26BK01323431,000,0,000,석면 사전조사 및 석면 농도측정 용역업체 선정 입찰공고,R26BK01323431000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,가능4구역 재개발정비사업조합,2026-02-06 19:01:00,2026-02-23 14:00:00,공440002,실공고,입찰개시,10,984,1,10,True,제20260206-05호,제20260206-05호,IN0000000014032,True,True,False,False,False,False,False,입160003,,,,202412260183,민020000,,,
R26BK01323396,001,0,000,「K리그 유스 교육방법론 및 디렉팅 체계 도입」용역,R26BK01323396001,공400002,변경공고,조070002,용역,입180001,직찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,&#40;사&#41;한국프로축구연맹,2026-02-07 21:58:00,,공440002,실공고,입찰개시,1,984,1,10,True,유스지원-260206,유스지원-260206,IN0100000075693,True,False,True,True,False,False,False,입160003,,,,,,,,
