bid_pbanc_no,bid_pbanc_ord,bid_clsf_no,bid_prgrs_ord,bid_pbanc_nm,bid_pbanc_num,pbanc_stts_cd,pbanc_stts_cd_nm,prcm_bsne_se_cd,prcm_bsne_se_cd_nm,bid_mthd_cd,bid_mthd_cd_nm,std_ctrt_mthd_cd,std_ctrt_mthd_cd_nm,scsbd_mthd_cd,scsbd_mthd_cd_nm,pbanc_inst_unty_grp_no,pbanc_inst_unty_grp_no_nm,grp_nm,bid_blff_id,bid_blff_id_nm,ibx_onbs_prnmnt_dt,ibx_onbs_dt,edoc_no,usr_doc_no_val
R26BK01324334,000,0,000,2026년도 대학정보보호동아리KUCIS 행사 및 교육 지원 용역,R26BK01324334000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000073440,한국정보보호산업협회,,UN00000213619,신지혜,2026-02-24 11:00:00,,교육기획팀-55,교육기획팀-55
R26BK01324591,000,0,000,수의계약을 위한 우선협상대상 시공자 선정 공고 4차,R26BK01324591000,공400001,등록공고,조070004,공사,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000096016,태평2가 가로주택정비사업조합,,UN00000479246,김경희,2026-02-27 18:00:00,,2026-04,2026-04
R26BK01324468,001,1,000,2025년 상품화기반구축지원사업 자동셋팅 오픈박스 제함기 물품구매 입찰,R26BK01324468001,공400002,변경공고,조070001,물품,입180002,전자입찰,계030003,제한경쟁,낙030021,최저가낙찰제,IN0000000013838,임실군조합공동사업법인 농산물산지유통센터,,UN00000566255,박창식,2026-02-13 11:00:00,,2026-01,2026-01
R26BK01324423,001,0,000,재공고 - 2026시즌 부산아이파크 경기 관람 환경 개선 ,R26BK01324423001,공400004,재공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000077095,에이치디씨스포츠 주식회사,,UN00000109451,김현호,2026-02-20 15:00:00,,BIFC2604,BIFC2604
R26BK01324416,001,0,000,재공고 - 2026시즌 부산아이파크 홈경기 청소 용역,R26BK01324416001,공400004,재공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000077095,에이치디씨스포츠 주식회사,,UN00000109451,김현호,2026-02-20 15:15:00,,BIFC2606,BIFC2606
R26BK01323291,000,0,000,예비 사업시행자 신탁사 선정 입찰공고,R26BK01323291000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0000000013687,수택A구역도심복합개발추진준비위원회,,UN00000556447,서강연,2026-02-11 11:00:00,,제2026-02호,제2026-02호
R26BK01323396,001,0,000,「K리그 유스 교육방법론 및 디렉팅 체계 도입」용역,R26BK01323396001,공400002,변경공고,조070002,용역,입180001,직찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000075693,&#40;사&#41;한국프로축구연맹,,UN00000107560,노진근,2026-02-19 14:00:00,,유스지원-260206,유스지원-260206
R26BK01323461,000,0,000,범죄예방 및 이주관리/세입자조사/ 업체 선정 입찰공고,R26BK01323461000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014032,가능4구역 재개발정비사업조합,,UN00000399403,서용엄,2026-02-24 17:00:00,,제20260206-13호,제20260206-13호
R26BK01323459,000,0,000,환경 및 재해영향평가 업체 선정 입찰공고,R26BK01323459000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014032,가능4구역 재개발정비사업조합,,UN00000399403,서용엄,2026-02-24 16:00:00,,제20260206-12호,제20260206-12호
R26BK01323456,000,0,000,친환경 분야 협력업체 선정 입찰공고,R26BK01323456000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014032,가능4구역 재개발정비사업조합,,UN00000399403,서용엄,2026-02-24 15:00:00,,제20260206-11호,제20260206-11호
