bid_pbanc_no,bid_pbanc_ord,bid_clsf_no,bid_prgrs_ord,bid_pbanc_nm,bid_pbanc_num,pbanc_stts_cd,pbanc_stts_cd_nm,prcm_bsne_se_cd,prcm_bsne_se_cd_nm,bid_mthd_cd,bid_mthd_cd_nm,std_ctrt_mthd_cd,std_ctrt_mthd_cd_nm,scsbd_mthd_cd,scsbd_mthd_cd_nm,grp_nm,pbanc_pstg_dt,slpr_rcpt_ddln_dt,pbanc_knd_cd,pbanc_knd_cd_nm,pbanc_stts_grid_cd_nm,row_num,tot_cnt,current_page,record_count_per_page,next_row_yn,edoc_no,usr_doc_no_val,pbanc_inst_unty_grp_no,pbanc_pstg_yn,pbanc_dscr_trgt_yn,slpr_rcpt_bgng_yn,slpr_rcpt_ddln_yn,onbs_prnmnt_yn,bid_qlfc_end_yn,pbanc_bfss_yn,bid_pbanc_pgst_cd,bid_pbanc_pgst_cd_nm,sfbr_slctn_ord,sfbr_slctn_rslt_cd,doc_sbmsn_ddln_dt,cvln_qlem_crtr_no,cvln_qlem_pgst_cd,objtdmd_term_dt,bdng_amt_yn_nm,slpr_rcpt_ddln_dt1
R26BK01310240,001,0,000,동아아파트 LH참여형 가로주택정비사업 시공자 선정 입찰공고,R26BK01310240001,공400003,취소공고,조070004,공사,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,동아아파트 LH참여형 가로주택정비사업조합,2026-02-09 17:28:00,2026-03-27 14:00:00,공440002,실공고,입찰개시,1,49941,1,100,True,2026-시공,2026-시공,IN0000000011590,True,True,True,False,False,False,False,입160003,,,,,,,,,
R26BK01326911,001,0,000,KBS N 스튜디오 미디어월 설치 공사,R26BK01326911001,공400002,변경공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,주식회사 케이비에스엔,2026-02-09 17:21:00,,공440002,실공고,입찰개시,2,49941,1,100,True,KBSN-2026-002호,KBSN-2026-002호,IN0100000105731,True,True,True,True,False,False,False,입160003,,,,,,,,,
R26BK01326942,000,0,000,"캠코에프엠씨 광주남구청사, 부산통합청사 건축물 안전점검 외주용역",R26BK01326942000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030021,최저가낙찰제,주식회사 캠코에프엠씨,2026-02-09 17:18:00,2026-02-19 16:00:00,공440002,실공고,입찰개시,3,49941,1,100,True,2026-0012,2026-0012,IN0100000096663,True,False,True,False,False,False,False,입160003,,,,,,,,,
R26BK01326869,000,0,000,하자소송-하자진단포함- 업체선정 입찰,R26BK01326869000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,행당제7구역주택재개발정비사업조합,2026-02-09 17:06:00,2026-02-20 11:00:00,공440002,실공고,입찰개시,4,49941,1,100,True,2026-351,2026-351,IN0100000086389,True,False,False,False,False,False,False,입160003,,,,,202412260183,민020000,,,
R26BK01326658,002,0,000,금호타운아파트 재건축정비사업 정비사업전문관리업자 선정,R26BK01326658002,공400002,변경공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,금호타운아파트 재건축정비사업 조합설립추진위원회,2026-02-09 16:55:00,2026-02-23 10:00:00,공440002,실공고,입찰개시,5,49941,1,100,True,2026-02-01,2026-02-01,IN0000000014004,True,False,True,False,False,False,False,입160003,,,,,202412261314,민020000,,,
R26BK01326792,000,0,000,부천국제애니메이션페스티벌  2026년 홈페이지 개편 및 유지보수 대행 용역 입찰 공고,R26BK01326792000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,(사)부천국제애니메이션페스티벌 조직위원회,2026-02-09 16:51:00,2026-02-27 10:00:00,공440002,실공고,입찰개시,6,49941,1,100,True,BIAF026_001,BIAF026_001,IN0100000091132,True,False,False,False,False,False,False,입160003,,,,,,,,,
R26BK01326714,000,1,000,제65회 경상남도민체육대회 통영시 선수단복 구매 입찰 공고,R26BK01326714000,공400001,등록공고,조070001,물품,입180001,직찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,통영시체육회,2026-02-09 16:45:00,,공440002,실공고,입찰개시,7,49941,1,100,True,2026-1,2026-1,IN0100000120116,True,False,True,True,False,False,False,입160003,,,,,,,,,
R26BK01326567,001,0,000,금호타운아파트 재건축정비사업 감정평가업자 선정,R26BK01326567001,공400002,변경공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,금호타운아파트 재건축정비사업 조합설립추진위원회,2026-02-09 16:42:00,2026-02-23 10:00:00,공440002,실공고,입찰개시,8,49941,1,100,True,2026-04,2026-04,IN0000000014004,True,False,True,False,False,False,False,입160003,,,,,202412261316,민020000,,,
R26BK01326445,001,0,000,금호타운아파트 재건축정비사업 도시계획업체 선정,R26BK01326445001,공400002,변경공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,금호타운아파트 재건축정비사업 조합설립추진위원회,2026-02-09 16:40:00,2026-02-23 10:00:00,공440002,실공고,입찰개시,9,49941,1,100,True,2026-03,2026-03,IN0000000014004,True,False,True,False,False,False,False,입160003,,,,,202412261315,민020000,,,
R26BK01326687,000,0,000,승강기 교체공사 사업자 선정 입찰공고,R26BK01326687000,공400001,등록공고,조070004,공사,입180002,전자입찰,계030003,제한경쟁,낙030001,적격심사제,평촌아크로타워관리단대표회의,2026-02-09 16:34:00,2026-03-05 17:00:00,공440002,실공고,입찰개시,10,49941,1,100,True,M073749,M073749,IN0000000012393,True,True,False,False,False,False,False,입160003,,,,,202412261317,민020000,,,
