bid_pbanc_no,bid_pbanc_ord,bid_clsf_no,bid_prgrs_ord,ibx_onbs_rnkg,ibx_grp_nm,ibx_bdng_amt,ibx_slpr_rcptn_dt,ibx_bzmn_reg_no,ibx_rprsv_nm,bidr_prsn_no,bidr_prsn_nm,bid_ufns_rsn_cd,bid_ufns_rsn_nm,ufns_yn,ibx_evl_scr_prpl,ibx_evl_scr_prce,ibx_evl_scr_ovrl,ibx_evl_scr_prpl_num,ibx_evl_scr_prce_num,ibx_evl_scr_ovrl_num,sfbr_slctn_ord,sfbr_slctn_rslt_cd
R26BK01324468,001,1,000,1,태명기계,0,2026-02-09 15:26:51,5040993076,서태환,UN00000394713,박희숙,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01322922,000,0,000,1,주식회사 제이앤영,0,2026-02-09 11:34:14,8358800573,지숙자,UN00000380202,지숙자,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01322531,000,0,000,1,유니트미디어,0,2026-02-07 19:48:43,8073101592,서진영,UN00000135229,서진영,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01322508,000,0,000,1,주식회사 마리컴,0,2026-02-06 15:03:44,1358198357,한정희,UN00000579084,한정희,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01309953,001,0,000,1,주식회사 마리컴,0,2026-02-09 09:00:22,1358198357,한정희,UN00000579084,한정희,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01321674,000,0,000,1,주식회사 현진엔지니어링,0,2026-02-09 11:54:40,5488100345,김현미,UN00000113661,오시량,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01321605,000,0,000,1,주식회사  우리종합기술,0,2026-02-09 16:06:22,1388198472,허태현,UN00000264823,송은희,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01313455,001,1,000,1,기수산업,0,2026-02-06 11:33:05,1074776072,전재수,UN00000008290,이덕락,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01320434,000,0,000,1,정원씨엔씨 주식회사,0,2026-02-06 15:57:17,1298601793,이은철,C129860179301,황영희,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01317630,000,0,000,1,법무법인 로드맵,0,2026-02-09 18:04:29,6418601162,남기룡,UN00000018847,김준성,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01317753,000,0,000,1,나우에스엠에이치주식회사,0,2026-02-09 12:10:59,6098137701,황찬준,C609813770101,김지수,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01317749,000,0,000,1,나우에스엠에이치주식회사,0,2026-02-09 11:54:53,6098137701,황찬준,C609813770101,김지수,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01317281,001,0,000,1,우림구조엔지니어링,0,2026-02-09 16:35:58,4126800300,백준현,UN00000192078,백준현,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01317308,000,0,000,1,경복회계법인,0,2026-02-09 19:44:38,2018802647,전성수,UN00000039984,전성수,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01317286,000,0,000,1,한내환경 주식회사,0,2026-02-09 09:46:40,4428603767,윤경진,UN00000528459,윤경진,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01317242,000,0,000,1,주식회사 우민토건,0,2026-02-09 11:34:11,1248192576,윤상철,B124819257601,김기수,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01317083,000,0,000,1,주식회사 우주디엔씨,0,2026-02-09 16:35:22,4458103403,전재명,UN00000452926,전재명,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01317077,000,0,000,1,동성회계법인,0,2026-02-08 14:12:30,1078686322,박창하,UN00000086749,김경환,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01316893,000,0,000,1,(주)아이원트래블,0,2026-02-09 15:09:59,1018669209,김충석,UN00000024618,김한유,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01315764,000,0,000,1,(주)도시정비기획,0,2026-02-09 18:55:17,1298651411,서영철,C129865141101,송회옥,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01315622,000,0,000,1,주식회사 한국산업환경연구소,0,2026-02-09 14:57:51,1018676826,박희웅,C101867682601,정은아,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01315595,000,0,000,1,주식회사 아람종합건축사사무소,0,2026-02-09 14:26:53,3148163596,맹주학,UN00000097572,맹주학,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01314048,000,0,000,1,바로 회계법인,0,2026-02-09 15:42:07,7028702798,조세용,C702870279801,김민석,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01311381,001,0,000,1,주식회사 더반이엔지,0,2026-02-09 09:54:16,1308657598,최돈용,UN00000013364,변지해,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01313807,000,0,000,1,(주)도시미래종합기술공사,0,2026-02-09 15:41:45,6218159909,이강제,UN00000115708,이소진,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01313496,000,0,000,1,강테크 주식회사,0,2026-02-09 10:11:54,4348702347,강종수,UN00000011537,신정문,,,False,0,0,0,0.0,0.0,0.0,,
R26BK01300833,001,0,000,1,주식회사 성월,25000000,2026-02-05 14:51:21,2488800406,박은미,UN00000047352,한소진,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01313091,000,0,000,1,기주씨엠 주식회사,39705000,2026-02-09 12:19:29,1148632799,조용균,UN00000142086,박슬기,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01312905,000,1,000,1,주식회사 신흥강판,0,2026-02-09 08:11:51,3158101180,김용현,UN00000105384,오슬기,,,False,0,0,0,0.0,0.0,0.0,,
