bid_pbanc_no,bid_pbanc_ord,bid_clsf_no,bid_prgrs_ord,bid_pbanc_nm,bid_pbanc_num,pbanc_stts_cd,pbanc_stts_cd_nm,prcm_bsne_se_cd,prcm_bsne_se_cd_nm,bid_mthd_cd,bid_mthd_cd_nm,std_ctrt_mthd_cd,std_ctrt_mthd_cd_nm,scsbd_mthd_cd,scsbd_mthd_cd_nm,grp_nm,pbanc_pstg_dt,slpr_rcpt_ddln_dt,pbanc_knd_cd,pbanc_knd_cd_nm,pbanc_stts_grid_cd_nm,row_num,tot_cnt,current_page,record_count_per_page,next_row_yn,edoc_no,usr_doc_no_val,pbanc_inst_unty_grp_no,pbanc_pstg_yn,pbanc_dscr_trgt_yn,slpr_rcpt_bgng_yn,slpr_rcpt_ddln_yn,onbs_prnmnt_yn,bid_qlfc_end_yn,pbanc_bfss_yn,bid_pbanc_pgst_cd,bid_pbanc_pgst_cd_nm,sfbr_slctn_ord,sfbr_slctn_rslt_cd,doc_sbmsn_ddln_dt,cvln_qlem_crtr_no,cvln_qlem_pgst_cd,objtdmd_term_dt,bdng_amt_yn_nm,slpr_rcpt_ddln_dt1
R26BK01310240,001,0,000,동아아파트 LH참여형 가로주택정비사업 시공자 선정 입찰공고,R26BK01310240001,공400003,취소공고,조070004,공사,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,동아아파트 LH참여형 가로주택정비사업조합,2026-02-09 17:28:00,2026-03-27 14:00:00,공440002,실공고,입찰개시,1,3508,1,20,True,2026-시공,2026-시공,IN0000000011590,True,True,True,False,False,False,False,입160003,,,,,,,,,
R26BK01326409,003,0,000,금호타운아파트 재건축정비사업 정비사업전문관리업자 선정,R26BK01326409003,공400003,취소공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,금호타운아파트 재건축정비사업 조합설립추진위원회,2026-02-09 16:25:00,2026-02-23 10:00:00,공440002,실공고,입찰개시,2,3508,1,20,True,2026-02,2026-02,IN0000000014004,True,False,True,False,False,False,False,입160003,,,,,202412261314,민020000,,,
R26BK01325918,001,0,000,부평2구역 공고,R26BK01325918001,공400003,취소공고,조070004,공사,입180001,직찰,계030001,일반경쟁,낙030027,최고가,부평2구역주택재개발정비사업조합,2026-02-09 14:49:00,,공440002,실공고,입찰개시,3,3508,1,20,True,부평2-2026-0209,부평2-2026-0209,IN0100000084888,True,False,True,True,False,False,False,입160003,,,,,,,,,
R26BK01322084,001,0,000,범천4구역 국ㆍ공유지 매수대행 용역업체 선정 공고,R26BK01322084001,공400003,취소공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,범천4구역주택재개발정비사업조합,2026-02-06 14:21:00,2026-02-24 14:00:00,공440002,실공고,입찰개시,4,3508,1,20,True,범천4구역주택재개발정비사업조합공고제2026-02-01호,범천4구역주택재개발정비사업조합공고제2026-02-01호,IN0100000105975,True,False,True,False,False,False,False,입160003,,,,,202412260183,민020000,,,
R26BK01321933,001,0,000,26년 국내 전시 용역업체 선정의 건,R26BK01321933001,공400003,취소공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,한국항공우주산업주식회사,2026-02-06 14:10:00,,공440002,실공고,입찰개시,5,3508,1,20,True,K-260206-002,K-260206-002,IN0100000086382,True,True,True,True,False,False,False,입160003,,,,,,,,,
R26BK01278185,003,0,000,둔산지구 통합11구역 재건축정비사업 도시계획건축설계 컨소시엄 업체 선정 입찰 공고,R26BK01278185003,공400003,취소공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,국화단지재건축추진준비위원회,2026-02-05 13:31:00,2026-02-06 11:00:00,공440002,실공고,입찰개시,6,3508,1,20,True,제2026-02호,제2026-02호,IN0000000013667,True,True,True,True,True,True,True,입160003,,,,,202412260183,민020000,,,
R26BK01299272,001,0,000,승강기  리모델링공사,R26BK01299272001,공400003,취소공고,조070004,공사,입180002,전자입찰,계030003,제한경쟁,낙030021,최저가낙찰제,여의도 롯데캐슬 엠파이어 상가 관리단,2026-02-05 13:04:00,2026-02-13 10:00:00,공440002,실공고,입찰개시,7,3508,1,20,True,여엠상260127-1,여엠상260127-1,IN0000000013796,True,True,False,False,False,False,True,입160003,,,,,,,,,
R26BK01317733,001,0,000,하남쁘띠린 경비용역업체 선정 입찰 공고,R26BK01317733001,공400003,취소공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,(주)대현종합관리,2026-02-04 20:45:00,2026-02-09 17:00:00,공440002,실공고,입찰개시,8,3508,1,20,True,dh-202601,dh-202601,IN0100000128396,True,False,True,True,True,True,False,입160003,,,,,202412260610,민020000,,,
R26BK01316423,001,0,000,세무·회계업체 선정 입찰공고,R26BK01316423001,공400003,취소공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,중촌시영구역 재건축사업 조합설립추진위원회,2026-02-04 15:24:00,2026-02-11 14:00:00,공440002,실공고,입찰개시,9,3508,1,20,True,2026-04,2026-04,IN0000000014048,True,False,True,False,False,False,False,입160003,,,,,202412260183,민020000,,,
R26BK01304464,001,0,000,KAI 노란봉투법 대응 컨설팅 용역 업체 선정의 건,R26BK01304464001,공400003,취소공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,한국항공우주산업주식회사,2026-02-03 11:26:00,,공440002,실공고,입찰개시,10,3508,1,20,True,20260129A,20260129A,IN0100000086382,True,False,True,True,False,False,False,입160003,,,,,,,,,
R26BK01293439,001,0,000,"아파트 외벽 균열 보수 및 재도장공사, 조형물 철거공사 입찰 공고문",R26BK01293439001,공400003,취소공고,조070004,공사,입180002,전자입찰,계030003,제한경쟁,낙030001,적격심사제,송도웰카운티4단지입주자대표회의,2026-02-02 16:19:00,2026-02-05 17:00:00,공440002,실공고,입찰개시,11,3508,1,20,True,제26-02호,제26-02호,IN0100000070161,True,True,True,True,True,True,True,입160003,,,,,202412261286,민020000,,,
