pst_no,bbs_no,pst_nm,unty_atch_file_no,use_yn,inpt_dt,odn3_col_cn,bulk_pst_cn
3496,R23AB00000108,취소공고사유 공지사항,,True,2026-02-09 17:26:43,B,이사회 의결에 따라 취소공고함.
3488,R23AB00000108,취소공고사유 공지사항,,True,2026-02-09 16:25:10,B,오기정정
3484,R23AB00000108,취소공고사유 공지사항,,True,2026-02-09 14:47:48,B,오기정정
3473,R23AB00000108,취소공고사유 공지사항,,True,2026-02-06 14:16:17,B,수정사항 반영
3474,R23AB00000108,변경공고사유 공지사항,,True,2026-02-06 14:17:13,A,수정사항 반영
3472,R23AB00000108,취소공고사유 공지사항,,True,2026-02-06 14:10:16,B,첨부 공고문 내용 수정에 따른 재공고
3467,R23AB00000108,취소공고사유 공지사항,,True,2026-02-05 13:28:58,B,발주자의 사유로 해당 입찰 공고를  취소합니다.  제출된 서류는 반환하도록 하겠습니다.
3465,R23AB00000108,취소공고사유 공지사항,,True,2026-02-05 10:30:27,B,중복공고
3463,R23AB00000108,취소공고사유 공지사항,,True,2026-02-04 20:43:53,B,긴급으로 변경하여 재공고 예정
3452,R23AB00000108,변경공고사유 공지사항,12404b11-696a-4f1a-815c-d4ca432ef99b,True,2026-02-04 14:58:42,A,중촌시영구역 세무회계업체 선정 입찰지침서 날짜 미 기입으로 인한 입찰지침서 재 등록
3454,R23AB00000108,취소공고사유 공지사항,,True,2026-02-04 15:18:45,B,입찰지침서 잘목 등재
3446,R23AB00000108,취소공고사유 공지사항,,True,2026-02-03 11:21:23,B,내부사정에 의거 취소합니다.
3439,R23AB00000108,취소공고사유 공지사항,ff2c0cbd-be0a-43cb-a304-129f9ae14ce2,True,2026-02-02 16:13:15,B,입찰 공고 상 수정사항이 발생하여 취소함
3437,R23AB00000108,취소공고사유 공지사항,,True,2026-02-02 15:54:23,B,첨부파일 수정건
3423,R23AB00000108,취소공고사유 공지사항,,True,2026-01-30 17:43:42,B,"* 2026.01.30.(금) 공지사항
 - 유찰에 따른 입찰 취소"
3416,R23AB00000108,취소공고사유 공지사항,,True,2026-01-30 15:31:05,B,"조합 내부 일정 변경 및 사업계획 보완에 따른 입찰 취소

추후 변경된 일정에 따라 재입찰 공고 예정"
3415,R23AB00000108,취소공고사유 공지사항,,True,2026-01-30 15:30:45,B,"조합 내부 일정 변경 및 사업계획 보완에 따른 입찰 취소

추후 변경된 일정에 따라 재입찰 공고 예정"
3414,R23AB00000108,취소공고사유 공지사항,,True,2026-01-30 15:30:19,B,"조합 내부 일정 변경 및 사업계획 보완에 따른 입찰 취소

추후 변경된 일정에 따라 재입찰 공고 예정"
3413,R23AB00000108,취소공고사유 공지사항,,True,2026-01-30 15:30:00,B,"조합 내부 일정 변경 및 사업계획 보완에 따른 입찰 취소

추후 변경된 일정에 따라 재입찰 공고 예정"
3410,R23AB00000108,취소공고사유 공지사항,,True,2026-01-30 11:36:18,B,"입찰 절차에 따른 소송이 접수되어 취소 후, 재공고 예정임."
3409,R23AB00000108,취소공고사유 공지사항,,True,2026-01-30 11:33:28,B,"입찰 절차에 따른 소송이 접수되어 취소 후, 재공고 예정임."
3406,R23AB00000108,취소공고사유 공지사항,,True,2026-01-29 19:40:03,B,취소공고 테스트
