bid_pbanc_no,bid_pbanc_ord,bid_clsf_no,bid_prgrs_ord,bid_pbanc_nm,bid_pbanc_num,pbanc_stts_cd,pbanc_stts_cd_nm,prcm_bsne_se_cd,prcm_bsne_se_cd_nm,bid_mthd_cd,bid_mthd_cd_nm,std_ctrt_mthd_cd,std_ctrt_mthd_cd_nm,scsbd_mthd_cd,scsbd_mthd_cd_nm,pbanc_inst_unty_grp_no,pbanc_inst_unty_grp_no_nm,grp_nm,pic_id,pic_id_nm,bid_blff_id,bid_blff_id_nm,bsne_tlph_no,bsne_fax_no,bsne_eml,pbanc_pstg_dt,slpr_rcpt_bgng_dt,slpr_rcpt_ddln_dt,onbs_prnmnt_dt,bid_qlfc_reg_dt,onbs_plac_nm,zip,base_addr,dtl_addr,unty_addr,edoc_no,usr_doc_no_val,rbid_prms_yn,pbanc_pstg_yn,rgn_lmt_yn,lcns_lmt_yn,pnpr_use_yn,pnpr_rls_yn,unty_atch_file_no
R26BK01327106,000,0,000,하자소송-하자진단포함-업체 선정 입찰공고,R26BK01327106000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000086389,행당제7구역주택재개발정비사업조합,행당제7구역주택재개발정비사업조합,CM023362G0001,은영배,CM023362G0001,은영배,0222920177,0222950179,galaxys24@naver.com,2026-02-09 17:55:31,2026-02-10 10:00:00,2026-02-20 11:00:00,2026-02-20 13:00:00,2026-02-19 18:00:00,조합사무실(서울.성동. 고산자로 10길 8. 행당빌딩  305호 ),04745,서울특별시 성동구 고산자로6가길,고산자로10길 8. 행당빌딩 305호,서울특별시 성동구 고산자로6가길 고산자로10길 8. 행당빌딩 305호,2026-351,2026-351,True,True,False,False,False,False,d391e511-60c9-437d-84f2-92aef26f3c56
R26BK01327098,000,1,000,2026-2027년 한전FMS㈜ 현장직원 근무복 제작·구매,R26BK01327098000,공400001,등록공고,조070001,물품,입180001,직찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000100893,한전에프엠에스 주식회사,한전에프엠에스 주식회사,UN00000233179,정채수,UN00000233179,정채수,0618207161,0618207319,csjeong@kepcofms.co.kr,2026-02-09 17:50:25,,,2026-02-24 14:00:00,,제안요청서 참조,58217,전라남도 나주시 빛가람로,727-0 (빛가람동) 5층,전라남도 나주시 빛가람로 727-0 (빛가람동) 5층,G212600001,G212600001,False,True,False,False,False,False,9c02b18d-f4bf-4d45-8e29-0f8bc6f65ef7
R26BK01310240,001,0,000,동아아파트 LH참여형 가로주택정비사업 시공자 선정 입찰공고,R26BK01310240001,공400003,취소공고,조070004,공사,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0000000011590,동아아파트 LH참여형 가로주택정비사업조합,동아아파트 LH참여형 가로주택정비사업조합,UN00000481984,김종선,UN00000481984,김종선,01085635886,0328814373,ydshra320@naver.com,2026-02-09 17:28:06,2026-02-02 16:00:00,2026-03-27 14:00:00,2026-03-27 15:00:00,2026-03-26 18:00:00,"조합사무실(인천광역시 미추홀구 미추로36번길 36, 상가 2층)",22169,인천광역시 미추홀구 미추로36번길,36 (숭의동),인천광역시 미추홀구 미추로36번길 36 (숭의동),2026-시공,2026-시공,True,True,False,False,False,False,
R26BK01326911,001,0,000,KBS N 스튜디오 미디어월 설치 공사,R26BK01326911001,공400002,변경공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000105731,주식회사 케이비에스엔,주식회사 케이비에스엔,CM042045G0001,최종안,CM042045G0001,최종안,027873238,0269695191,yaimmar@kbsn.co.kr,2026-02-09 17:21:16,,,2026-02-25 14:00:00,,KBS미디어센터,03909,서울특별시 마포구 매봉산로,45-0 (상암동),서울특별시 마포구 매봉산로 45-0 (상암동),KBSN-2026-002호,KBSN-2026-002호,True,True,False,False,False,True,41555721-f833-4bde-9ebd-f2c675941f1a
R26BK01326942,000,0,000,"캠코에프엠씨 광주남구청사, 부산통합청사 건축물 안전점검 외주용역",R26BK01326942000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030021,최저가낙찰제,IN0100000096663,주식회사 캠코에프엠씨,주식회사 캠코에프엠씨,UN00000231813,조지훈,UN00000231813,조지훈,0313612028,0313612051,chohun10@kamcofmc.co.kr,2026-02-09 17:18:10,2026-02-09 17:30:00,2026-02-19 16:00:00,2026-02-19 17:00:00,2026-02-18 18:00:00,캠코에프엠씨 본사,16500,경기도 수원시 영통구 월드컵로150번길,33-0 (원천동) 2층,경기도 수원시 영통구 월드컵로150번길 33-0 (원천동) 2층,2026-0012,2026-0012,True,True,False,False,True,True,5034d0fe-16ef-46bb-b3b8-6a31a359bd43
R26BK01326869,000,0,000,하자소송-하자진단포함- 업체선정 입찰,R26BK01326869000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000086389,행당제7구역주택재개발정비사업조합,행당제7구역주택재개발정비사업조합,CM023362G0001,은영배,CM023362G0001,은영배,0222920177,0222950179,galaxys24@naver.com,2026-02-09 17:06:25,2026-02-10 10:00:00,2026-02-20 11:00:00,2026-02-20 13:00:00,2026-02-19 18:00:00,조합사무실(서울.성동구 고산자로 10길 8. 행당빌딩 305호),04745,서울특별시 성동구 고산자로6가길,고산자로10길 8. 행당빌딩 305호,서울특별시 성동구 고산자로6가길 고산자로10길 8. 행당빌딩 305호,2026-351,2026-351,False,True,False,False,False,False,608b000b-eda6-42ef-bf45-2e6e543b06a9
R26BK01326658,002,0,000,금호타운아파트 재건축정비사업 정비사업전문관리업자 선정,R26BK01326658002,공400002,변경공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014004,금호타운아파트 재건축정비사업 조합설립추진위원회,금호타운아파트 재건축정비사업 조합설립추진위원회,UN00000569910,박기환,UN00000569910,박기환,0316893704,0316893705,hwan7010@naver.com,2026-02-09 16:55:32,2026-02-09 16:40:00,2026-02-23 10:00:00,2026-02-23 11:00:00,2026-02-22 18:00:00,추진위원회 사무실,14017,경기도 안양시 만안구 삼봉로,65 (박달동),경기도 안양시 만안구 삼봉로 65 (박달동),2026-02-01,2026-02-01,True,True,False,False,False,False,ccf4890e-b6da-4924-9917-467b0065332b
R26BK01326792,000,0,000,부천국제애니메이션페스티벌  2026년 홈페이지 개편 및 유지보수 대행 용역 입찰 공고,R26BK01326792000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000091132,(사)부천국제애니메이션페스티벌 조직위원회,(사)부천국제애니메이션페스티벌 조직위원회,UN00000262315,최은영,UN00000262315,최은영,,,apa33@hanmail.net,2026-02-09 16:51:55,2026-02-10 10:00:00,2026-02-27 10:00:00,2026-02-27 11:00:00,2026-02-26 18:00:00,경기도 부천 비아프사무국,14505,경기도 부천시 원미구 길주로,17-0 (상동) 웹툰융합센터 704호,경기도 부천시 원미구 길주로 17-0 (상동) 웹툰융합센터 704호,BIAF026_001,BIAF026_001,True,True,False,False,False,False,08079b07-d209-417a-95d6-063f1c1605c6
R26BK01326714,000,1,000,제65회 경상남도민체육대회 통영시 선수단복 구매 입찰 공고,R26BK01326714000,공400001,등록공고,조070001,물품,입180001,직찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000120116,통영시체육회,통영시체육회,UN00000300456,김수희,UN00000300456,김수희,0556498300,0556447053,tysfa7330@naver.com,2026-02-09 16:45:06,,,2026-02-23 17:00:00,,통영시체육회,53062,경상남도 통영시 중앙로,65(도천동),경상남도 통영시 중앙로 65(도천동),2026-1,2026-1,True,True,True,False,False,True,a37460fe-9ffa-48fe-bbef-a96569b915e2
R26BK01326567,001,0,000,금호타운아파트 재건축정비사업 감정평가업자 선정,R26BK01326567001,공400002,변경공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014004,금호타운아파트 재건축정비사업 조합설립추진위원회,금호타운아파트 재건축정비사업 조합설립추진위원회,UN00000569910,박기환,UN00000569910,박기환,0316893704,0316893705,hwan7010@naver.com,2026-02-09 16:42:07,2026-02-09 16:20:00,2026-02-23 10:00:00,2026-02-23 11:00:00,2026-02-22 18:00:00,추진위원회 사무실,14017,경기도 안양시 만안구 삼봉로,65 (박달동),경기도 안양시 만안구 삼봉로 65 (박달동),2026-04,2026-04,True,True,False,False,False,False,51a9569c-70f5-4453-b882-5f44d683a8dd
