bid_pbanc_no,bid_pbanc_ord,bid_clsf_no,bid_prgrs_ord,ibx_onbs_rnkg,ibx_grp_nm,ibx_bdng_amt,ibx_slpr_rcptn_dt,ibx_bzmn_reg_no,ibx_rprsv_nm,bidr_prsn_no,bidr_prsn_nm,bid_ufns_rsn_cd,bid_ufns_rsn_nm,ufns_yn,ibx_evl_scr_prpl,ibx_evl_scr_prce,ibx_evl_scr_ovrl,ibx_evl_scr_prpl_num,ibx_evl_scr_prce_num,ibx_evl_scr_ovrl_num,sfbr_slctn_ord,sfbr_slctn_rslt_cd
R26BK01300833,001,0,000,1,주식회사 성월,25000000,2026-02-05 14:51:21,2488800406,박은미,UN00000047352,한소진,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01308653,000,0,000,1,리딩투자증권 주식회사,97500000000,2026-02-09 08:52:06,2208181120,최규원,UN00000420554,서범석,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300645,001,0,000,1,주식회사 청마,85000000,2026-02-05 13:44:01,1138524493,김영환,C113818732101,이영서,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300645,001,0,000,2,주식회사 한국건설환경,98000000,2026-02-05 10:44:32,2118838647,박상원,UN00000200739,박슬아,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01306084,000,0,000,1,주식회사 모든오피스,58128160,2026-02-06 12:54:12,2148738348,정의진,C214873834803,함영승,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01306084,000,0,000,2,가온샘 주식회사,67708000,2026-02-04 10:11:48,5568800684,정정숙,C556880068401,염찬일,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01306084,000,0,000,3,서주사이언티픽 주식회사,86531500,2026-02-05 17:28:08,8228100578,전상훈,UN00000561971,전상기,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01306019,000,0,000,1,주식회사 디자인그룹이루건축사사무소,29000,2026-02-04 12:15:45,8408800236,정태영,C840880023601,정태영,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01306019,000,0,000,2,소담건축사사무소,30000,2026-02-05 10:48:22,8430200338,배형근,C843020033801,배형근,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01306019,000,0,000,3,주식회사 종합건축사사무소가람건축,32500,2026-02-05 10:23:15,2118153940,장연철,UN00000042203,이원혁,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01304399,000,0,000,1,주식회사 디자인그룹이루건축사사무소,29000,2026-02-04 12:14:53,8408800236,정태영,C840880023601,정태영,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01304399,000,0,000,2,소담건축사사무소,30000,2026-02-05 10:46:30,8430200338,배형근,C843020033801,배형근,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01304399,000,0,000,3,주식회사 종합건축사사무소가람건축,32500,2026-02-05 10:21:19,2118153940,장연철,UN00000042203,이원혁,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300622,000,0,000,1,주식회사 대한환경분석기관,174000000,2026-02-05 15:36:26,1198668346,신종우,C119866834601,신유연,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300622,000,0,000,2,주식회사 한국친환경연구소,190000000,2026-02-04 12:32:26,2158765173,양준승,UN00000060478,임재항,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300622,000,0,000,3,주식회사 미래환경분석,196000000,2026-02-04 16:41:35,2208791014,박재홍,C220879101401,황민지,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300622,000,0,000,4,주식회사 한국산업환경연구소,210000000,2026-02-04 10:48:43,1018676826,박희웅,C101867682601,정은아,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300622,000,0,000,5,(주) 디오디엔지니어링,229000000,2026-02-05 10:16:29,2158733351,김설래,C215873335101,박미정,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300622,000,0,000,6,주식회사 친환경건축이에이그룹,240000000,2026-02-04 11:02:19,1148659425,전선식,UN00000438556,이준용,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300585,000,0,000,1,(주)새길이엔시,265000000,2026-02-06 08:06:46,5158123858,박석기,UN00000068312,이상훈,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300585,000,0,000,2,주식회사 지오로직스,269000000,2026-02-05 19:32:08,2098152540,고인환,UN00000542371,박건수,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300585,000,0,000,3,(주)제일지오텍엔지니어링,330000000,2026-02-05 17:27:28,1288164994,이교일,UN00000026031,황지현,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300585,000,0,000,4,주식회사 정민지오테크,370000000,2026-02-05 12:39:28,2118884461,이윤상,C211888446101,선미현,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300585,000,0,000,5,(주) 아남이엔지,407000000,2026-02-06 09:15:57,2078144952,방성운,UN00000261012,임선제,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300585,000,0,000,6,주식회사 시원이앤씨,422500000,2026-02-05 15:44:48,2128607750,유용찬,C212860775001,이동천,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300585,000,0,000,7,주식회사 현진엔지니어링,430000000,2026-02-02 15:25:58,5488100345,김현미,UN00000113661,오시량,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300585,000,0,000,8,주식회사 제일엔지니어링종합건축사사무소,459000000,2026-02-05 19:12:45,2298107980,오승교,B229810798001,유영석,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300585,000,0,000,9,주식회사 보라엔지니어링,471000000,2026-02-06 08:47:09,2208873070,이종호,UN00000033199,이현지,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300585,000,0,000,10,주식회사 비에스이엔지,480000000,2026-02-05 09:41:10,1208759451,이호창,C120875945101,이호창,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300585,000,0,000,11,(주)대교컨설턴트,497000000,2026-02-06 09:11:50,2208707646,연춘흠,UN00000034907,연종흠,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300585,000,0,000,12,(주)다솔엔지니어링,588000000,2026-02-04 14:58:43,1268187894,김현,UN00000119938,이원기,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300585,000,0,000,13,(주)다산이엔지,640000000,2026-02-04 14:31:06,1148179498,이상헌,B114817949801,김계룡,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300585,000,0,000,14,(주)인아엔지니어링,710000000,2026-02-04 13:42:53,2148622024,백승인,UN00000070334,김범숙,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300750,000,0,000,1,(주)친환경계획그룹 청연,435900000,2026-02-06 09:03:10,2208764521,김학건,UN00000000097,이종현,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300750,000,0,000,2,주식회사 친환경건축이에이그룹,436500000,2026-02-04 18:19:00,1148659425,전선식,UN00000460736,조혜진,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300750,000,0,000,3,주식회사 이에이엔테크놀로지,436880000,2026-02-05 15:52:29,1018199824,신지웅,UN00000000811,이상엽,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01300750,000,0,000,4,주식회사 한국건설환경,465000000,2026-02-05 10:54:41,2118838647,박상원,UN00000200739,박슬아,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01299021,000,1,000,1,건일상사,7841200,2026-02-02 17:05:11,6083878192,김병수,UN00000001919,김병수,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01299021,000,1,000,2,우남크린,10934200,2026-01-29 10:30:19,6091896569,전유남,UN00000011185,전유남,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290419,000,0,000,1,중앙법무사법인,50,2026-01-28 17:10:42,2148637395,조성천,UN00000269191,정승수,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290419,000,0,000,2,이학수법무사법인(유한),60,2026-01-28 15:46:09,1338800462,이학수,UN00000003332,정원근,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290327,001,0,000,1,중앙법무사법인,50,2026-01-28 17:12:43,2148637395,조성천,UN00000269191,정승수,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290327,001,0,000,2,이학수법무사법인(유한),60,2026-01-28 15:47:15,1338800462,이학수,UN00000003332,정원근,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290510,001,0,000,1,주식회사 우영기술단건축사사무소,398000000,2026-01-28 15:59:47,4108192502,이몽룡,UN00000122038,백은미,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290510,001,0,000,2,만승엔지니어링 주식회사,450000000,2026-01-28 15:12:39,4258701363,김성환,C425870136301,조혜영,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01293951,000,1,000,1,하나자원 주식회사,100000000,2026-01-30 14:22:31,5068161426,구형회,C506816142601,구형회,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01293951,000,1,000,2,문성자원,98750000,2026-01-28 20:12:25,5131803245,김동현,C513180324501,김동현,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
