bid_pbanc_no,bid_pbanc_ord,bid_clsf_no,bid_prgrs_ord,bid_pbanc_nm,bid_pbanc_num,pbanc_stts_cd,pbanc_stts_cd_nm,prcm_bsne_se_cd,prcm_bsne_se_cd_nm,bid_mthd_cd,bid_mthd_cd_nm,std_ctrt_mthd_cd,std_ctrt_mthd_cd_nm,scsbd_mthd_cd,scsbd_mthd_cd_nm,pbanc_inst_unty_grp_no,pbanc_inst_unty_grp_no_nm,grp_nm,bid_blff_id,bid_blff_id_nm,ibx_onbs_prnmnt_dt,ibx_onbs_dt,edoc_no,usr_doc_no_val
R26BK01327106,000,0,000,하자소송-하자진단포함-업체 선정 입찰공고,R26BK01327106000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000086389,행당제7구역주택재개발정비사업조합,,CM023362G0001,은영배,2026-02-20 13:00:00,,2026-351,2026-351
R26BK01327098,000,1,000,2026-2027년 한전FMS㈜ 현장직원 근무복 제작·구매,R26BK01327098000,공400001,등록공고,조070001,물품,입180001,직찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000100893,한전에프엠에스 주식회사,,UN00000233179,정채수,2026-02-24 14:00:00,,G212600001,G212600001
R26BK01310240,001,0,000,동아아파트 LH참여형 가로주택정비사업 시공자 선정 입찰공고,R26BK01310240001,공400003,취소공고,조070004,공사,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0000000011590,동아아파트 LH참여형 가로주택정비사업조합,,UN00000481984,김종선,2026-03-27 15:00:00,,2026-시공,2026-시공
R26BK01326911,001,0,000,KBS N 스튜디오 미디어월 설치 공사,R26BK01326911001,공400002,변경공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000105731,주식회사 케이비에스엔,,CM042045G0001,최종안,2026-02-25 14:00:00,,KBSN-2026-002호,KBSN-2026-002호
R26BK01326942,000,0,000,"캠코에프엠씨 광주남구청사, 부산통합청사 건축물 안전점검 외주용역",R26BK01326942000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030021,최저가낙찰제,IN0100000096663,주식회사 캠코에프엠씨,,UN00000231813,조지훈,2026-02-19 17:00:00,,2026-0012,2026-0012
R26BK01326869,000,0,000,하자소송-하자진단포함- 업체선정 입찰,R26BK01326869000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0100000086389,행당제7구역주택재개발정비사업조합,,CM023362G0001,은영배,2026-02-20 13:00:00,,2026-351,2026-351
R26BK01326658,002,0,000,금호타운아파트 재건축정비사업 정비사업전문관리업자 선정,R26BK01326658002,공400002,변경공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014004,금호타운아파트 재건축정비사업 조합설립추진위원회,,UN00000569910,박기환,2026-02-23 11:00:00,,2026-02-01,2026-02-01
R26BK01326792,000,0,000,부천국제애니메이션페스티벌  2026년 홈페이지 개편 및 유지보수 대행 용역 입찰 공고,R26BK01326792000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000091132,(사)부천국제애니메이션페스티벌 조직위원회,,UN00000262315,최은영,2026-02-27 11:00:00,,BIAF026_001,BIAF026_001
R26BK01326714,000,1,000,제65회 경상남도민체육대회 통영시 선수단복 구매 입찰 공고,R26BK01326714000,공400001,등록공고,조070001,물품,입180001,직찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000120116,통영시체육회,,UN00000300456,김수희,2026-02-23 17:00:00,,2026-1,2026-1
R26BK01326567,001,0,000,금호타운아파트 재건축정비사업 감정평가업자 선정,R26BK01326567001,공400002,변경공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014004,금호타운아파트 재건축정비사업 조합설립추진위원회,,UN00000569910,박기환,2026-02-23 11:00:00,,2026-04,2026-04
R26BK01326445,001,0,000,금호타운아파트 재건축정비사업 도시계획업체 선정,R26BK01326445001,공400002,변경공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014004,금호타운아파트 재건축정비사업 조합설립추진위원회,,UN00000569910,박기환,2026-02-23 11:00:00,,2026-03,2026-03
R26BK01326687,000,0,000,승강기 교체공사 사업자 선정 입찰공고,R26BK01326687000,공400001,등록공고,조070004,공사,입180002,전자입찰,계030003,제한경쟁,낙030001,적격심사제,IN0000000012393,평촌아크로타워관리단대표회의,,UN00000504986,허원,2026-03-05 18:00:00,,M073749,M073749
R26BK01325904,000,0,000,구조분야 관계기술자협업건축구조 용역업체 선정을 위한 입찰 공고,R26BK01325904000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030021,최저가낙찰제,IN0100000089136,외동주공아파트 재건축정비사업조합,,UN00000265798,이혜민,2026-02-19 15:00:00,,외동주공아파트재건축정비사업조합공고제2026-02-09-2호,외동주공아파트재건축정비사업조합공고제2026-02-09-2호
R26BK01326409,003,0,000,금호타운아파트 재건축정비사업 정비사업전문관리업자 선정,R26BK01326409003,공400003,취소공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014004,금호타운아파트 재건축정비사업 조합설립추진위원회,,UN00000569910,박기환,2026-02-23 11:00:00,,2026-02,2026-02
R26BK01326603,000,0,000,2종 시설물 역사 정밀안전점검 용역,R26BK01326603000,공400001,등록공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030021,최저가낙찰제,IN0100000072379,부산-김해경전철주식회사,,CM009491G0002,박장우,2026-02-27 14:00:00,,부산-김해경전철입찰공고제2026-003호,부산-김해경전철입찰공고제2026-003호
R26BK01326490,000,0,000,통합 전자문서 구축 용역 RFP,R26BK01326490000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0000000014063,주식회사 잇올,,UN00000577067,이상훈,2026-02-27 18:00:00,,문서번호ia2026-0209-0110,문서번호ia2026-0209-0110
R26BK01326326,001,0,000,금호타운아파트 재건축정비사업 설계자 선정,R26BK01326326001,공400002,변경공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000014004,금호타운아파트 재건축정비사업 조합설립추진위원회,,UN00000569910,박기환,2026-02-23 11:00:00,,2026-01,2026-01
R26BK01326451,000,0,000,K리그 통합 데이터포털 위탁 유지보수 운영,R26BK01326451000,공400004,재공고,조070002,용역,입180001,직찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000075693,(사)한국프로축구연맹,,UN00000470950,심규성,2026-02-19 11:00:00,,20260209,20260209
R26BK01326281,000,0,000,2026년 문학경기장 소방시설 종합점검 용역,R26BK01326281000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030003,제한경쟁,낙030027,최고가,IN0100000090739,(주)아스타아이비에스,,UN00000192458,유정서,2026-02-20 11:00:00,,2026-01,2026-01
R26BK01326247,000,0,000,KAI 26년 지속가능성보고서 기후 공시 대응 용역 업체 선정의 건,R26BK01326247000,공400001,등록공고,조070002,용역,입180001,직찰,계030003,제한경쟁,낙030021,최저가낙찰제,IN0100000086382,한국항공우주산업주식회사,,UN00000172578,박경우,2026-02-23 12:00:00,,20260209B,20260209B
R26BK01326177,000,0,000,협약기업 직무분석 및 훈련과정 개발 용역,R26BK01326177000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000067700,한국광산업진흥회,,UN00000322820,김효진,2026-03-05 16:00:00,,인력양성팀-60,인력양성팀-60
R26BK01325918,001,0,000,부평2구역 공고,R26BK01325918001,공400003,취소공고,조070004,공사,입180001,직찰,계030001,일반경쟁,낙030027,최고가,IN0100000084888,부평2구역주택재개발정비사업조합,,CM021850G0002,송승희,2026-02-10 17:00:00,,부평2-2026-0209,부평2-2026-0209
R26BK01325816,000,0,000,도곡우성아파트 토목분야 용역 업체 선정 입찰 공고,R26BK01325816000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000002577,도곡우성아파트 재건축정비사업조합,,UN00000381425,유인석,2026-02-23 16:00:00,,제2026-03호,제2026-03호
R26BK01325693,000,0,000,도곡우성아파트 환경 및 재해영향평가 업체 선정 입찰 공고,R26BK01325693000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030001,적격심사제,IN0000000002577,도곡우성아파트 재건축정비사업조합,,UN00000381425,유인석,2026-02-23 15:00:00,,제2026-02호,제2026-02호
T26BK01325021,000,0,000,강서구와 함께하는OKTA 45주년 OK Live K-POP 콘서트,T26BK01325021000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030003,제한경쟁,낙030028,제안서평가에의한낙찰자결정,IN0000000014084,(사)세계한인경제무역협회,,UN00000580340,원동민,2026-02-16 17:00:00,,20260209,20260209
R26BK01325661,000,0,000,설계자 선정을 위한 입찰공고,R26BK01325661000,공400001,등록공고,조070002,용역,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000119824,벧엘아파트 소규모재건축사업조합,,UN00000563351,이승호,2026-02-27 15:00:00,,벧엘조합공고제260209-01호,벧엘조합공고제260209-01호
T26BK01325645,000,0,000,부곡주공1단지 재건축 정비사업 시공자 선정 입찰공고,T26BK01325645000,공400001,등록공고,조070004,공사,입180002,전자입찰,계030001,일반경쟁,낙030028,제안서평가에의한낙찰자결정,IN0100000129841,부곡주공1단지 주택재건축정비사업조합,,UN00000260470,김영호,2026-03-09 14:00:00,,부곡주공1단지재건축정비사업조합제2026-0209-01호,부곡주공1단지재건축정비사업조합제2026-0209-01호
