bid_pbanc_num,bid_pbanc_nm,pbanc_stts_cd_nm,prcm_bsne_se_cd_nm,bid_mthd_cd_nm,pbanc_stts_grid_cd_nm,pbanc_knd_cd_nm,std_ctrt_mthd_cd_nm,scsbd_mthd_cd_nm
R26BK01300833001,광신대교 첨가배관 보수공사 감리용역,변경공고,용역,전자입찰,접수완료,실공고,제한경쟁,최저가낙찰제
R26BK01308653000,주택도시보증공사협의및정비사업비리파이낸싱금융기관선정입찰공고,등록공고,용역,전자입찰,접수완료,실공고,일반경쟁,제안서평가에의한낙찰자결정
R26BK01300645001,소규모 재해영향평가 용역업체 선정을 위한 입찰 공고,변경공고,용역,전자입찰,접수완료,실공고,일반경쟁,적격심사제
R26BK01306084000,2026년 소모성 물품 MRO 구매대행 서비스 공급업체 선정,등록공고,용역,전자입찰,접수완료,실공고,일반경쟁,최저가낙찰제
R26BK01306019000,동문주공2단지 아파트 설계자 입찰공고,등록공고,용역,전자입찰,접수완료,실공고,일반경쟁,적격심사제
R26BK01304399000,동문주공1단지아파트 설계자 선정 입찰공고,등록공고,용역,전자입찰,접수완료,실공고,일반경쟁,적격심사제
R26BK01300622000,석면 사전조사 및 농도측정 용역업체 선정을 위한 입찰 공고,등록공고,용역,전자입찰,접수완료,실공고,일반경쟁,적격심사제
R26BK01300585000,토목분야 용역업체 선정을 위한 입찰 공고,등록공고,용역,전자입찰,접수완료,실공고,일반경쟁,적격심사제
R26BK01300750000,친환경분야 용역업체 선정을 위한 입찰 공고,등록공고,용역,전자입찰,접수완료,실공고,일반경쟁,적격심사제
R26BK01299021000,청소용품 납품업체 선정공고,등록공고,물품,전자입찰,접수완료,실공고,일반경쟁,최저가낙찰제
R26BK01290419000,동문주공 1단지 가로주택 법무사법인 선정 입찰공고,등록공고,용역,전자입찰,접수완료,실공고,일반경쟁,적격심사제
R26BK01290327001,법무사선정공고,변경공고,용역,전자입찰,접수완료,실공고,일반경쟁,적격심사제
R26BK01290510001,동문주공 1단지 부대업무용역 입찰공고,변경공고,용역,전자입찰,접수완료,실공고,일반경쟁,적격심사제
R26BK01293951000,대구연호 공공주택지구 조성공사 현장내 고철 매각,등록공고,물품,전자입찰,접수완료,실공고,일반경쟁,최고가
R26BK01292508000,주택도시보증공사HUG 정비사업비（이주비/사업비 ）대출보증 행정대행용역 입찰공고,등록공고,용역,전자입찰,접수완료,실공고,일반경쟁,적격심사제
R26BK01290480000,동문주공1단지가로주택재개발정비사업 석면사전조사 선정 입찰공고,등록공고,용역,전자입찰,접수완료,실공고,일반경쟁,적격심사제
R26BK01290370000,동문주공1단지가로주택재개발정비사업 세무법인 선정 입찰공고,등록공고,용역,전자입찰,접수완료,실공고,일반경쟁,적격심사제
R26BK01290447000,동문주공1단지가로주택재개발정비사업 이주관리 선정 입찰공고,등록공고,용역,전자입찰,접수완료,실공고,일반경쟁,적격심사제
R26BK01290567000,부대업무용역업무입찰공고,등록공고,용역,전자입찰,접수완료,실공고,일반경쟁,적격심사제
R26BK01290542000,석면사전조사및측정용역업체선정,등록공고,용역,전자입찰,접수완료,실공고,일반경쟁,적격심사제
