bid_pbanc_no,bid_pbanc_ord,bid_clsf_no,bid_prgrs_ord,bid_pbanc_nm,bid_pbanc_num,pbanc_stts_cd_nm,prcm_bsne_se_cd_nm,bid_mthd_cd_nm,std_ctrt_mthd_cd_nm,scsbd_mthd_cd_nm,pbanc_inst_unty_grp_no,pbanc_inst_unty_grp_no_nm,grp_nm,bid_blff_id,bid_blff_id_nm,ibx_onbs_prnmnt_dt,ibx_onbs_dt,edoc_no,usr_doc_no_val
R26BK01300833,001,0,000,광신대교 첨가배관 보수공사 감리용역,R26BK01300833001,변경공고,용역,전자입찰,제한경쟁,최저가낙찰제,IN0100000115042,(주)해양에너지,,UN00000113326,이동현,2026-02-06 11:00:00,2026-02-06 11:44:00,해양에너지-0059,해양에너지-0059
R26BK01308653,000,0,000,주택도시보증공사협의및정비사업비리파이낸싱금융기관선정입찰공고,R26BK01308653000,등록공고,용역,전자입찰,일반경쟁,제안서평가에의한낙찰자결정,IN0100000093224,금촌율목지구주택재개발정비사업조합,,UN00000299451,나신숙,2026-02-09 15:00:00,2026-02-09 15:27:00,금촌율목지구주택재개발정비사업조합공고제2026-02-01호,금촌율목지구주택재개발정비사업조합공고제2026-02-01호
R26BK01300645,001,0,000,소규모 재해영향평가 용역업체 선정을 위한 입찰 공고,R26BK01300645001,변경공고,용역,전자입찰,일반경쟁,적격심사제,IN0100000128761,광장아파트38의1재건축정비사업조합,,UN00000168384,박도혁,2026-02-09 13:00:00,2026-02-09 13:22:00,광장아파트38-1재건축정비사업조합공고제2026-009호,광장아파트38-1재건축정비사업조합공고제2026-009호
R26BK01306084,000,0,000,2026년 소모성 물품 MRO 구매대행 서비스 공급업체 선정,R26BK01306084000,등록공고,용역,전자입찰,일반경쟁,최저가낙찰제,IN0100000097492,한국마사회시설관리(주),,CZT03959G0001,김대현,2026-02-06 15:00:00,2026-02-06 16:21:00,사업관리팀-258,사업관리팀-258
R26BK01306019,000,0,000,동문주공2단지 아파트 설계자 입찰공고,R26BK01306019000,등록공고,용역,전자입찰,일반경쟁,적격심사제,IN0000000013868,동문주공2단지 아파트 가로주택정비사업 조합,,UN00000568032,정재영,2026-02-05 16:00:00,2026-02-05 19:53:00,2026-03,2026-03
R26BK01304399,000,0,000,동문주공1단지아파트 설계자 선정 입찰공고,R26BK01304399000,등록공고,용역,전자입찰,일반경쟁,적격심사제,IN0000000013867,동문주공1단지아파트 가로주택정비사업조합,,UN00000568013,윤명자,2026-02-05 16:00:00,2026-02-05 19:40:00,2026-2,2026-2
R26BK01300622,000,0,000,석면 사전조사 및 농도측정 용역업체 선정을 위한 입찰 공고,R26BK01300622000,등록공고,용역,전자입찰,일반경쟁,적격심사제,IN0100000128761,광장아파트38의1재건축정비사업조합,,UN00000168384,박도혁,2026-02-06 13:00:00,2026-02-06 14:38:00,광장아파트38-1재건축정비사업조합공고제2026-008호,광장아파트38-1재건축정비사업조합공고제2026-008호
R26BK01300585,000,0,000,토목분야 용역업체 선정을 위한 입찰 공고,R26BK01300585000,등록공고,용역,전자입찰,일반경쟁,적격심사제,IN0100000128761,광장아파트38의1재건축정비사업조합,,UN00000168384,박도혁,2026-02-06 13:00:00,2026-02-06 14:40:00,광장아파트38-1재건축정비사업조합공고제2026-007호,광장아파트38-1재건축정비사업조합공고제2026-007호
R26BK01300750,000,0,000,친환경분야 용역업체 선정을 위한 입찰 공고,R26BK01300750000,등록공고,용역,전자입찰,일반경쟁,적격심사제,IN0100000128761,광장아파트38의1재건축정비사업조합,,UN00000168384,박도혁,2026-02-06 13:00:00,2026-02-06 14:46:00,광장아파트38-1재건축정비사업조합공고제2026-010호,광장아파트38-1재건축정비사업조합공고제2026-010호
R26BK01299021,000,1,000,청소용품 납품업체 선정공고,R26BK01299021000,등록공고,물품,전자입찰,일반경쟁,최저가낙찰제,IN0100000075400,더시티세븐자이 관리단대표위원회,,CM013468G0001,김삼만,2026-02-03 13:00:00,2026-02-03 13:12:00,cy20260127,cy20260127
R26BK01290419,000,0,000,동문주공 1단지 가로주택 법무사법인 선정 입찰공고,R26BK01290419000,등록공고,용역,전자입찰,일반경쟁,적격심사제,IN0000000013867,동문주공1단지아파트 가로주택정비사업조합,,UN00000568013,윤명자,2026-01-29 17:00:00,2026-02-04 12:36:00,2026-03,2026-03
R26BK01290327,001,0,000,법무사선정공고,R26BK01290327001,변경공고,용역,전자입찰,일반경쟁,적격심사제,IN0000000013868,동문주공2단지 아파트 가로주택정비사업 조합,,UN00000568032,정재영,2026-01-29 16:00:00,2026-01-29 17:13:00,2026-1,2026-1
R26BK01290510,001,0,000,동문주공 1단지 부대업무용역 입찰공고,R26BK01290510001,변경공고,용역,전자입찰,일반경쟁,적격심사제,IN0000000013867,동문주공1단지아파트 가로주택정비사업조합,,UN00000568013,윤명자,2026-01-29 17:00:00,2026-02-04 12:36:00,2026-6,2026-6
R26BK01293951,000,1,000,대구연호 공공주택지구 조성공사 현장내 고철 매각,R26BK01293951000,등록공고,물품,전자입찰,일반경쟁,최고가,IN0100000119624,금광기업(주),,UN00000213212,최영우,2026-01-30 17:00:00,2026-02-06 14:17:00,2026-001,2026-001
R26BK01292508,000,0,000,주택도시보증공사HUG 정비사업비（이주비/사업비 ）대출보증 행정대행용역 입찰공고,R26BK01292508000,등록공고,용역,전자입찰,일반경쟁,적격심사제,IN0100000093641,개포주공6·7단지아파트 재건축정비사업조합,,CM031344G0001,윤형무,2026-02-03 17:00:00,2026-02-06 15:44:00,"개포주공6,7단지아파트재건축정비사업조합공고제2026-004호","개포주공6,7단지아파트재건축정비사업조합공고제2026-004호"
R26BK01290480,000,0,000,동문주공1단지가로주택재개발정비사업 석면사전조사 선정 입찰공고,R26BK01290480000,등록공고,용역,전자입찰,일반경쟁,적격심사제,IN0000000013867,동문주공1단지아파트 가로주택정비사업조합,,UN00000568013,윤명자,2026-01-29 17:00:00,2026-02-04 12:35:00,2026-6,2026-6
