bid_pbanc_num,bid_pbanc_nm,pbanc_stts_cd_nm,prcm_bsne_se_cd_nm,bid_mthd_cd_nm,pbanc_stts_grid_cd_nm,pbanc_knd_cd_nm,std_ctrt_mthd_cd_nm,scsbd_mthd_cd_nm
R26BK01327106000,하자소송-하자진단포함-업체 선정 입찰공고,등록공고,용역,전자입찰,입찰개시,실공고,일반경쟁,적격심사제
R26BK01327098000,2026-2027년 한전FMS㈜ 현장직원 근무복 제작·구매,등록공고,물품,직찰,입찰개시,실공고,제한경쟁,제안서평가에의한낙찰자결정
R26BK01310240001,동아아파트 LH참여형 가로주택정비사업 시공자 선정 입찰공고,취소공고,공사,전자입찰,입찰개시,실공고,일반경쟁,제안서평가에의한낙찰자결정
R26BK01326911001,KBS N 스튜디오 미디어월 설치 공사,변경공고,용역,직찰,입찰개시,실공고,제한경쟁,제안서평가에의한낙찰자결정
R26BK01326942000,"캠코에프엠씨 광주남구청사, 부산통합청사 건축물 안전점검 외주용역",등록공고,용역,전자입찰,입찰개시,실공고,일반경쟁,최저가낙찰제
R26BK01326869000,하자소송-하자진단포함- 업체선정 입찰,등록공고,용역,전자입찰,입찰개시,실공고,일반경쟁,적격심사제
R26BK01326658002,금호타운아파트 재건축정비사업 정비사업전문관리업자 선정,변경공고,용역,전자입찰,입찰개시,실공고,일반경쟁,적격심사제
R26BK01326792000,부천국제애니메이션페스티벌  2026년 홈페이지 개편 및 유지보수 대행 용역 입찰 공고,등록공고,용역,전자입찰,입찰개시,실공고,일반경쟁,제안서평가에의한낙찰자결정
R26BK01326714000,제65회 경상남도민체육대회 통영시 선수단복 구매 입찰 공고,등록공고,물품,직찰,입찰개시,실공고,일반경쟁,제안서평가에의한낙찰자결정
R26BK01326567001,금호타운아파트 재건축정비사업 감정평가업자 선정,변경공고,용역,전자입찰,입찰개시,실공고,일반경쟁,적격심사제
R26BK01326445001,금호타운아파트 재건축정비사업 도시계획업체 선정,변경공고,용역,전자입찰,입찰개시,실공고,일반경쟁,적격심사제
R26BK01326687000,승강기 교체공사 사업자 선정 입찰공고,등록공고,공사,전자입찰,입찰개시,실공고,제한경쟁,적격심사제
R26BK01325904000,구조분야 관계기술자협업건축구조 용역업체 선정을 위한 입찰 공고,등록공고,용역,전자입찰,입찰개시,실공고,일반경쟁,최저가낙찰제
R26BK01326409003,금호타운아파트 재건축정비사업 정비사업전문관리업자 선정,취소공고,용역,전자입찰,입찰개시,실공고,일반경쟁,적격심사제
R26BK01326603000,2종 시설물 역사 정밀안전점검 용역,등록공고,용역,직찰,입찰개시,실공고,제한경쟁,최저가낙찰제
R26BK01326490000,통합 전자문서 구축 용역 RFP,등록공고,용역,전자입찰,입찰개시,실공고,일반경쟁,제안서평가에의한낙찰자결정
R26BK01326326001,금호타운아파트 재건축정비사업 설계자 선정,변경공고,용역,전자입찰,입찰개시,실공고,일반경쟁,적격심사제
R26BK01326451000,K리그 통합 데이터포털 위탁 유지보수 운영,재공고,용역,직찰,입찰개시,실공고,일반경쟁,제안서평가에의한낙찰자결정
R26BK01326281000,2026년 문학경기장 소방시설 종합점검 용역,등록공고,용역,전자입찰,입찰개시,실공고,제한경쟁,최고가
R26BK01326247000,KAI 26년 지속가능성보고서 기후 공시 대응 용역 업체 선정의 건,등록공고,용역,직찰,입찰개시,실공고,제한경쟁,최저가낙찰제
