bid_pbanc_no,bid_pbanc_ord,bid_clsf_no,bid_prgrs_ord,bid_pbanc_nm,bid_pbanc_num,pbanc_stts_cd_nm,prcm_bsne_se_cd_nm,bid_mthd_cd_nm,std_ctrt_mthd_cd_nm,scsbd_mthd_cd_nm,pbanc_inst_unty_grp_no,pbanc_inst_unty_grp_no_nm,grp_nm,bid_blff_id,bid_blff_id_nm,ibx_onbs_prnmnt_dt,ibx_onbs_dt,edoc_no,usr_doc_no_val
R26BK01327106,000,0,000,하자소송-하자진단포함-업체 선정 입찰공고,R26BK01327106000,등록공고,용역,전자입찰,일반경쟁,적격심사제,IN0100000086389,행당제7구역주택재개발정비사업조합,,CM023362G0001,은영배,2026-02-20 13:00:00,,2026-351,2026-351
R26BK01327098,000,1,000,2026-2027년 한전FMS㈜ 현장직원 근무복 제작·구매,R26BK01327098000,등록공고,물품,직찰,제한경쟁,제안서평가에의한낙찰자결정,IN0100000100893,한전에프엠에스 주식회사,,UN00000233179,정채수,2026-02-24 14:00:00,,G212600001,G212600001
R26BK01310240,001,0,000,동아아파트 LH참여형 가로주택정비사업 시공자 선정 입찰공고,R26BK01310240001,취소공고,공사,전자입찰,일반경쟁,제안서평가에의한낙찰자결정,IN0000000011590,동아아파트 LH참여형 가로주택정비사업조합,,UN00000481984,김종선,2026-03-27 15:00:00,,2026-시공,2026-시공
R26BK01326911,001,0,000,KBS N 스튜디오 미디어월 설치 공사,R26BK01326911001,변경공고,용역,직찰,제한경쟁,제안서평가에의한낙찰자결정,IN0100000105731,주식회사 케이비에스엔,,CM042045G0001,최종안,2026-02-25 14:00:00,,KBSN-2026-002호,KBSN-2026-002호
R26BK01326942,000,0,000,"캠코에프엠씨 광주남구청사, 부산통합청사 건축물 안전점검 외주용역",R26BK01326942000,등록공고,용역,전자입찰,일반경쟁,최저가낙찰제,IN0100000096663,주식회사 캠코에프엠씨,,UN00000231813,조지훈,2026-02-19 17:00:00,,2026-0012,2026-0012
R26BK01326869,000,0,000,하자소송-하자진단포함- 업체선정 입찰,R26BK01326869000,등록공고,용역,전자입찰,일반경쟁,적격심사제,IN0100000086389,행당제7구역주택재개발정비사업조합,,CM023362G0001,은영배,2026-02-20 13:00:00,,2026-351,2026-351
R26BK01326658,002,0,000,금호타운아파트 재건축정비사업 정비사업전문관리업자 선정,R26BK01326658002,변경공고,용역,전자입찰,일반경쟁,적격심사제,IN0000000014004,금호타운아파트 재건축정비사업 조합설립추진위원회,,UN00000569910,박기환,2026-02-23 11:00:00,,2026-02-01,2026-02-01
R26BK01326792,000,0,000,부천국제애니메이션페스티벌  2026년 홈페이지 개편 및 유지보수 대행 용역 입찰 공고,R26BK01326792000,등록공고,용역,전자입찰,일반경쟁,제안서평가에의한낙찰자결정,IN0100000091132,(사)부천국제애니메이션페스티벌 조직위원회,,UN00000262315,최은영,2026-02-27 11:00:00,,BIAF026_001,BIAF026_001
R26BK01326714,000,1,000,제65회 경상남도민체육대회 통영시 선수단복 구매 입찰 공고,R26BK01326714000,등록공고,물품,직찰,일반경쟁,제안서평가에의한낙찰자결정,IN0100000120116,통영시체육회,,UN00000300456,김수희,2026-02-23 17:00:00,,2026-1,2026-1
R26BK01326567,001,0,000,금호타운아파트 재건축정비사업 감정평가업자 선정,R26BK01326567001,변경공고,용역,전자입찰,일반경쟁,적격심사제,IN0000000014004,금호타운아파트 재건축정비사업 조합설립추진위원회,,UN00000569910,박기환,2026-02-23 11:00:00,,2026-04,2026-04
R26BK01326445,001,0,000,금호타운아파트 재건축정비사업 도시계획업체 선정,R26BK01326445001,변경공고,용역,전자입찰,일반경쟁,적격심사제,IN0000000014004,금호타운아파트 재건축정비사업 조합설립추진위원회,,UN00000569910,박기환,2026-02-23 11:00:00,,2026-03,2026-03
R26BK01326687,000,0,000,승강기 교체공사 사업자 선정 입찰공고,R26BK01326687000,등록공고,공사,전자입찰,제한경쟁,적격심사제,IN0000000012393,평촌아크로타워관리단대표회의,,UN00000504986,허원,2026-03-05 18:00:00,,M073749,M073749
R26BK01325904,000,0,000,구조분야 관계기술자협업건축구조 용역업체 선정을 위한 입찰 공고,R26BK01325904000,등록공고,용역,전자입찰,일반경쟁,최저가낙찰제,IN0100000089136,외동주공아파트 재건축정비사업조합,,UN00000265798,이혜민,2026-02-19 15:00:00,,외동주공아파트재건축정비사업조합공고제2026-02-09-2호,외동주공아파트재건축정비사업조합공고제2026-02-09-2호
R26BK01326409,003,0,000,금호타운아파트 재건축정비사업 정비사업전문관리업자 선정,R26BK01326409003,취소공고,용역,전자입찰,일반경쟁,적격심사제,IN0000000014004,금호타운아파트 재건축정비사업 조합설립추진위원회,,UN00000569910,박기환,2026-02-23 11:00:00,,2026-02,2026-02
R26BK01326603,000,0,000,2종 시설물 역사 정밀안전점검 용역,R26BK01326603000,등록공고,용역,직찰,제한경쟁,최저가낙찰제,IN0100000072379,부산-김해경전철주식회사,,CM009491G0002,박장우,2026-02-27 14:00:00,,부산-김해경전철입찰공고제2026-003호,부산-김해경전철입찰공고제2026-003호
R26BK01326490,000,0,000,통합 전자문서 구축 용역 RFP,R26BK01326490000,등록공고,용역,전자입찰,일반경쟁,제안서평가에의한낙찰자결정,IN0000000014063,주식회사 잇올,,UN00000577067,이상훈,2026-02-27 18:00:00,,문서번호ia2026-0209-0110,문서번호ia2026-0209-0110
