unty_atch_file_no,atch_file_sqno,atch_file_nm,orgnl_atch_file_nm,file_extn_nm,file_sz,encr_bef_file_sz,img_url,atch_file_dscr,mcsc_chck_id_val,dwnld_prms_yn,kbrdr_id,kbrdr_nm,inpt_dt,atch_file_path_nm,tbl_nm,col_nm,atch_file_rmrk_cn
d391e511-60c9-437d-84f2-92aef26f3c56,1,f54ff1dcad134d75a4473bc68c943c3f.pdf,하자공고.pdf,.pdf,505172,,,,,,CM023362G0001,은영배,2026-02-09 17:50:53,/data/Attachfiles/a/2026/02/09/f54ff1dcad134d75a4473bc68c943c3f.pdf,c,d,
d391e511-60c9-437d-84f2-92aef26f3c56,2,cebdd69c9d8746aca7eed5977cbb935e.pdf,하자지침서.pdf,.pdf,8605967,,,,,,CM023362G0001,은영배,2026-02-09 17:50:56,/data/Attachfiles/a/2026/02/09/cebdd69c9d8746aca7eed5977cbb935e.pdf,c,d,
d391e511-60c9-437d-84f2-92aef26f3c56,3,9547a303d61145ab993da2d8e1b98692.pdf,하자적격심사표.pdf,.pdf,502672,,,,,,CM023362G0001,은영배,2026-02-09 17:50:56,/data/Attachfiles/a/2026/02/09/9547a303d61145ab993da2d8e1b98692.pdf,c,d,
9c02b18d-f4bf-4d45-8e29-0f8bc6f65ef7,1,06a2934eec9a480e907e7499420320b0.pdf,입찰공고문.pdf,.pdf,98481,,,,,,UN00000233179,정채수,2026-02-09 17:49:25,/data/Attachfiles/a/2026/02/09/06a2934eec9a480e907e7499420320b0.pdf,c,d,
9c02b18d-f4bf-4d45-8e29-0f8bc6f65ef7,2,9f43ae7a2dac451bb89288a8cb0a5220.pdf,제안요청서.pdf,.pdf,607260,,,,,,UN00000233179,정채수,2026-02-09 17:49:25,/data/Attachfiles/a/2026/02/09/9f43ae7a2dac451bb89288a8cb0a5220.pdf,c,d,
9c02b18d-f4bf-4d45-8e29-0f8bc6f65ef7,3,b22ec752fa8b40cf99875b344d0741ad.hwp,별첨1 제출서식.hwp,.hwp,109568,,,,,,UN00000233179,정채수,2026-02-09 17:49:25,/data/Attachfiles/a/2026/02/09/b22ec752fa8b40cf99875b344d0741ad.hwp,c,d,
9c02b18d-f4bf-4d45-8e29-0f8bc6f65ef7,4,8b58c61b72da4c27ab102989bd47e2b7.pdf,별첨2 제작사양서.pdf,.pdf,1586922,,,,,,UN00000233179,정채수,2026-02-09 17:49:25,/data/Attachfiles/a/2026/02/09/8b58c61b72da4c27ab102989bd47e2b7.pdf,c,d,
41555721-f833-4bde-9ebd-f2c675941f1a,1,37bdf5a5babd449da5079aa3259f0fee.hwp,입찰공고서 (스튜디오 미디어월 설치 사업).hwp,.hwp,61440,,,,,,CM042045G0001,최종안,2026-02-09 17:20:29,/data/Attachfiles/a/2026/02/09/37bdf5a5babd449da5079aa3259f0fee.hwp,c,d,
41555721-f833-4bde-9ebd-f2c675941f1a,2,38fbbc7cb563470cb4b474def8c23290.hwp,제안요청서(스튜디오 미디어월 설치 사업).hwp,.hwp,1414144,,,,,,CM042045G0001,최종안,2026-02-09 17:20:29,/data/Attachfiles/a/2026/02/09/38fbbc7cb563470cb4b474def8c23290.hwp,c,d,
41555721-f833-4bde-9ebd-f2c675941f1a,3,f15aa4fb329644e08d77ac70f9a146bb.pdf,입찰공고서 (스튜디오 미디어월 설치 사업).pdf,.pdf,44650,,,,,,CM042045G0001,최종안,2026-02-09 17:20:29,/data/Attachfiles/a/2026/02/09/f15aa4fb329644e08d77ac70f9a146bb.pdf,c,d,
5034d0fe-16ef-46bb-b3b8-6a31a359bd43,1,52a8e2a18833483ca24774e6775168e7.pdf,"붙임1. [광주남구, 부산통합] 건축물 안전점검 입찰공고서.pdf",.pdf,348990,,,,,,UN00000231813,조지훈,2026-02-09 17:17:34,/data/Attachfiles/a/2026/02/09/52a8e2a18833483ca24774e6775168e7.pdf,c,d,
5034d0fe-16ef-46bb-b3b8-6a31a359bd43,2,a7d525078d4944f6a6424d42cf72232e.pdf,"붙임2. [광주남구, 부산통합] 건축물 안전점검 과업내용서.pdf",.pdf,261100,,,,,,UN00000231813,조지훈,2026-02-09 17:17:35,/data/Attachfiles/a/2026/02/09/a7d525078d4944f6a6424d42cf72232e.pdf,c,d,
608b000b-eda6-42ef-bf45-2e6e543b06a9,1,eb3c612db97948a897e74736ae6c139f.pdf,입찰공고.pdf,.pdf,565939,,,,,,CM023362G0001,은영배,2026-02-09 17:02:43,/data/Attachfiles/a/2026/02/09/eb3c612db97948a897e74736ae6c139f.pdf,c,d,
608b000b-eda6-42ef-bf45-2e6e543b06a9,2,151217d09052464bba82d1cbc1c7bc7c.pdf,적격심사표.pdf,.pdf,551393,,,,,,CM023362G0001,은영배,2026-02-09 17:02:44,/data/Attachfiles/a/2026/02/09/151217d09052464bba82d1cbc1c7bc7c.pdf,c,d,
608b000b-eda6-42ef-bf45-2e6e543b06a9,3,153187fca41b458dab4a2cb9765711d2.pdf,3. 하자소송(진단포함)_입찰지침서(260209).pdf,.pdf,225943,,,,,,CM023362G0001,은영배,2026-02-09 17:02:44,/data/Attachfiles/a/2026/02/09/153187fca41b458dab4a2cb9765711d2.pdf,c,d,
ccf4890e-b6da-4924-9917-467b0065332b,1,b7886bd8c88c4741afecf467bbd0ba18.pdf,1. 입찰공고(정비사업전문관리업자)_금호타운아파트.pdf,.pdf,58250,,,,,,UN00000569910,박기환,2026-02-09 16:55:20,/data/Attachfiles/a/2026/02/09/b7886bd8c88c4741afecf467bbd0ba18.pdf,c,d,
